Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs,Freq symp
,,Infections and infestations (1505),,Klinik für Kinder- und Jugendmedizin des Universitätsklinikums Ulm, +49 (0)731 500 57491,"Eythstr. 24, 89075 ULM, GERMANY",,,Erasme Hospital - ULB, +32 (0)2 555 41 45,"Route de Lennik 808, 1070 BRUSSELS, BELGIUM",,,,"Luxembourg, Een Haerz fir kriibskrank Kanner / Un coeur pour les enfants atteints de cancer",https://www.kriibskrankkanner.lu,,,,,,,,
,,"Injury, poisoning and procedural complications (1725)",,Klinikum Augsburg, +49 (0)821 400 9310,"Stenglinstr. 2, 86156 AUGSBURG, GERMANY",,,CHU Sart Tilman - Liège, +32 (0)4 284 36 40,"Domaine Universitaire du Sart Tilman - Bâtiment B 35 · B, 4000 LIEGE, BELGIUM ",,,,"Poland, KOLIBER - Stowarzyszenie na rzecz dzieci z choroba nowotworowa",https://koliber-dzieciom.pl,,,,,,,,
,,Investigations (1612),,Kinder- und Jugendklinik des Universitätsklinikums Erlangen, +49 (0)9131 85 33118,"Loschgestraße 15, 91054 ERLANGEN, GERMANY",,,Ghent University Hospital - UZ Gent, +32 9 332 21 11,"Corneel Heymanslaan 10, 9000 GENT, BELGIUM",,,,"Poland, Fundacja ""Krwinka""",http://www.krwinka.org,,,,,,,,
,,Metabolism and nutrition disorders (1384),,Kinderklinik München Schwabing der Technischen Universität München, +49 (0)89 3068 2632,"Parzivalstraße 16, 80804 MÜNCHEN, GERMANY",,,University Hospitals Leuven - Gasthuisberg, +32 (0)16 34 59 03,"Herestraat 49, 3000 LEUVEN, BELGIUM",,,,"Spain, Federación Española de Padres de Niños con Cáncer",https://cancerinfantil.org,,,,,,,,
,,Musculoskeletal and connective tissue disorders (996),,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, +49 (0)89 4400 52759,"Lindwurmstr. 4, 80337 MÜNCHEN, GERMANY",,,,,,,,,"Serbia, ZVONCICA - Childhood cancer parent organisation",http://www.zvoncica.org.rs,,,,,,,,
,,"Neoplasms benign, malignant and unspecified (incl cysts and polyps) (2396)",,Städtisches Klinikum Braunschweig - Standort Holwedestraße, +49 (0)531 595 1277,"Holwedestraße 16, 38118 BRAUNSCHWEIG, GERMANY",,,,,,,,,,,,,,,,,,
,,Nervous system disorders (1662),,Medizinische Hochschule Hannover, +49 (0)441 403 2013,"Rahel-Straus-Straße 10, 26133 OLDENBURG, GERMANY",,,,,,,,,,,,,,,,,,
,,"Pregnancy, puerperium and perinatal conditions (11)",,Universitätsklinikum Düsseldorf, +49 (0)211 81 17935,"Moorenstr.5, 40225 DÜSSELDORF, GERMANY",,,,,,,,,,,,,,,,,,
,,Product issues (8),,"Centrum für Integrierte Onkologie (CIO) Köln-Bonn, Standort Köln", +49 (0)221 478 87660,"Kerpener Str. 62, 50937 KÖLN, GERMANY",,,,,,,,,,,,,,,,,,
,,Psychiatric disorders (376),,Universitätsklinikum Carl Gustav Carus an der TU Dresden, +49 (0)351 458 5608,"Fetscherstrasse 74, 01307 DRESDEN, GERMANY",,,,,,,,,,,,,,,,,,
,,Renal and urinary disorders (642),,Zentrum für Frauen- und Kindermedizin am Universitätsklinikum Leipzig, +49 (0)341 97 26160,"Liebigstr. 20a, 04103 LEIPZIG, GERMANY",,,,,,,,,,,,,,,,,,
,,Reproductive system and breast disorders (50),,Universitätsklinikum Schleswig-Holstein - Campus Lübeck, +49 (0)451 500 2956,"Ratzeburger Allee 160, 23538 LÜBECK, GERMANY",,,,,,,,,,,,,,,,,,
,,"Respiratory, thoracic and mediastinal disorders (1436)",,IRCCS Istituto G. Gaslini - Ospedale Pediatrico, +39 010 5636604,"Largo G. Gaslini 5, 16147 GENOVA, ITALY",,,,,,,,,,,,,,,,,,
,,Skin and subcutaneous tissue disorders (1940),,UMCG - Universitair Medisch Centrum Groningen, +31 (0)50 361 6161,"Hanzeplein 1, 9713 GZ GRONINGEN, NETHERLANDS",,,,,,,,,,,,,,,,,,
,,Social circumstances (9),,"Amsterdam UMC, locatie VUmc", +31 (0)20 444 4444,"De Boelelaan 1117, 1081 HV AMSTERDAM, NETHERLANDS",,,,,,,,,,,,,,,,,,
,,Surgical and medical procedures (229),,Prinses Máxima Centrum, +31 (0)88 972 7272,"Heidelberglaan 25, 3584 CS UTRECHT, NETHERLANDS",,,,,,,,,,,,,,,,,,
,,Vascular disorders (558),,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,"Doctor Molewaterplein 40, 3015 GD Rotterdam",,,,,,,,,,,,,,,,,,
,,,,"Instytut ""Pomnik-Centrum Zdrowia Dziecka""", +48 22 815 7560,"Al. Dzieci Polskich 20, 04 -730 WARSAW, POLAND",,,,,,,,,,,,,,,,,,
,,,,"Hospital de Sta. Maria - Centro Hospitalar de Lisboa Norte, EPE.", +351 217 805 219,"Av. Prof. Egas Moniz, 1649-035 LISBOA, PORTUGAL",,,,,,,,,,,,,,,,,,
,,,,Hospital Sant Joan de Déu Barcelona, +34 93 253 21 00,"Paseo de Sant Joan de Déu, 2, 08950 ESPLUGUES DE LLOBREGAT, SPAIN",,,,,,,,,,,,,,,,,,
,,,,Hospital General Universitario de Alicante, +34 965913535,"Avenida Pintor Baeza, 12, 03010 ALICANTE, SPAIN",,,,,,,,,,,,,,,,,,
,,,,Hospital Universitario y Politécnico La Fe, +34 961244904,"Avenida de Fernando Abril Martorell 106, 46026 VALENCIA, SPAIN",,,,,,,,,,,,,,,,,,
,,,,Universitäts - Kinderspital Zürich - Eleonorenstiftung, +0041 (0)44 266 74 55,"Steinwiesstrasse 75, 8032 ZÜRICH, SWITZERLAND",,,,,,,,,,,,,,,,,,
,,,,Medizinische Universität Wien, +43 (0)1 40400 39400,"Spitalgasse 23, 1090 Wien, Austria",,,,,,,,,,,,,,,,,,
,,,,St. Anna Kinderspital, +43 (0)1 40170,"Kinderspitalgasse 6, 1090 WIEN, AUSTRIA",,,,,,,,,,,,,,,,,,
,,,,Kuopio University Hospital, +358 17 172 396,"Puijonlaaksontie 2, 70210 KUOPIO, FINLAND",,,,,,,,,,,,,,,,,,
,,,,GH Est des HCL - Institut d'Hématologie et d'Oncologie Pédiatrique (IHOPe), +33 (0)4 78 78 26 06,"1 Place Joseph Renaut, 69008 LYON, FRANCE",,,,,,,,,,,,,,,,,,
,,,,CHU de Marseille - Hôpital de la Timone, +33 (0)4 91 38 68 21,"264 rue Saint-Pierre, 13385 MARSEILLE CEDEX 5, FRANCE",,,,,,,,,,,,,,,,,,
,,,,Geschäftsstelle des CCC Erlangen-EMN, +49 (0)9131 85 47029,"Östliche Stadtmauerstraße 30, 91054 ERLANGEN, GERMANY",,,,,,,,,,,,,,,,,,
,,,,Geschäftsstelle CCC München, +49 (0)89 4400 57430,"Pettenkoferstraße 8a, 80336 MÜNCHEN, GERMANY",,,,,,,,,,,,,,,,,,
,,,,RHCCC - Roman-Herzog Comprehensive Cancer Center München, +49 (0)89 41 40 77 07,"Trogerstr. 26, 81675 MÜNCHEN, GERMANY",,,,,,,,,,,,,,,,,,
,,,,Charité - Universitätsmedizin Berlin (CCM), +49 (0)30 450 564 222,"Charitéplatz 1, 10117 BERLIN, GERMANY",,,,,,,,,,,,,,,,,,
,,,,Hubertus Wald Tumorzentrum/ Universitäres Cancer Center (UCCH), +49 (0)40 7410 55692,"Martinistr. 52, 20246 HAMBURG, GERMANY",,,,,,,,,,,,,,,,,,
,,,,Universitäres Centrum für Tumorerkrankungen (UCT) Frankfurt, +49 (0)69 6301 87333,"Theodor-Stern-Kai 7, 60590 FRANKFURT AM MAIN, GERMANY",,,,,,,,,,,,,,,,,,
,,,,Azienda Ospedaliera Universitaria Anna Meyer, +39 055 5662322,"Viale Pieraccini 24, 50139 FIRENZE, ITALY",,,,,,,,,,,,,,,,,,
,,,,Uniwersytecki Szpital Dzieciecy w Lublinie, +48 81 747 72 20,"Prof.Antoniego Gebali 6, 20-093 LUBLIN, POLAND",,,,,,,,,,,,,,,,,,
,,,,University of Çukurova, (90)322 338 60 60 Ext3116,"Balcalı, Çukurova Üniversitesi Rektörlüğü, 01330 Sarıçam/Adana",,,,,,,,,,,,,,,,,,
,,,,The Royal Marsden, +44 (0)208 642 6011,"Downs Road, Sutton, SURREY SM2 5PT, UNITED KINGDOM",,,,,,,,,,,,,,,,,,
,,,,Royal Manchester Children's Hospital, +44 (0)161 727 2950,"Oxford road, MANCHESTER M13 9WL, UNITED KINGDOM",,,,,,,,,,,,,,,,,,
