Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs
,,,,Klinikum Stuttgart - Standort Olgahospital, +49 (0)711 278 72461,Kriegsbergstraße 6270174 STUTTGARTGERMANY,,,CHU Sart Tilman - Liège, +32 (0)4 284 36 40,Domaine Universitaire du Sart Tilman - Bâtiment B 35 · B 4000 LIEGE BELGIUM,,,,"Luxembourg, Een Haerz fir kriibskrank Kanner / Un coeur pour les enfants atteints de cancer",https://www.kriibskrankkanner.lu,,,,,,,
,,,,Südwestdeutsches Tumorzentrum (CCC) - Tübingen-Stuttgart, +49 (0)711 278 72461,Kriegsbergstraße 6270174 STUTTGARTGERMANY,,,Ghent University Hospital - UZ Gent,,Corneel Heymanslaan 10 9000 GENT BELGIUM,,,,"Poland, KOLIBER - Stowarzyszenie na rzecz dzieci z choroba nowotworowa",https://koliber-dzieciom.pl,,,,,,,
,,,,Klinik für Kinder- und Jugendmedizin des Universitätsklinikums Ulm, +49 (0)731 500 57491,Eythstr. 2489075 ULMGERMANY,,,,,,,,,"Poland, Fundacja ""Krwinka""",http://www.krwinka.org,,,,,,,
,,,,Klinikum Augsburg, +49 (0)821 400 9310,Stenglinstr. 286156 AUGSBURGGERMANY,,,,,,,,,"Spain, Federación Española de Padres de Niños con Cáncer",https://cancerinfantil.org,,,,,,,
,,,,Kinder- und Jugendklinik des Universitätsklinikums Erlangen, +49 (0)9131 85 33118,Loschgestraße 1591054 ERLANGENGERMANY,,,,,,,,,"Serbia, ZVONCICA - Childhood cancer parent organisation",http://www.zvoncica.org.rs,,,,,,,
,,,,Kinderklinik München Schwabing der Technischen Universität München, +49 (0)89 3068 2632,Parzivalstraße 1680804 MÜNCHENGERMANY,,,,,,,,,,,,,,,,,
,,,,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, +49 (0)89 4400 52759,Lindwurmstr. 480337 MÜNCHENGERMANY,,,,,,,,,,,,,,,,,
,,,,LMU Klinikum der Universität München - Campus Großhadern, +49 (0)89 4400 72591,Marchioninistraße 1581377 MÜNCHENGERMANY,,,,,,,,,,,,,,,,,
,,,,RHCCC - Roman-Herzog Comprehensive Cancer Center München, +49 (0)89 41 40 77 07,Trogerstr. 2681675 MÜNCHENGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Regensburg, +49 (0)941 944 2101,Franz-Josef-Strauß-Allee 1193053 REGENSBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Regensburg, +49 (0)941 944 9696,Franz-Josef-Strauß-Allee 1193053 REGENSBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitäts-Kinderklinik Würzburg, +49 (0)931 201 27831,Josef-Schneider-Str. 297080 WÜRZBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Charité - Universitätsmedizin Berlin (CBF), +49 (0)30 8445 2531,Hindenburgdamm 3012200 BERLINGERMANY,,,,,,,,,,,,,,,,,
,,,,Charité - Universitätsmedizin Berlin (CVK), +49 (0)30 450 566 766,Augustenburger Platz 113353 BERLINGERMANY,,,,,,,,,,,,,,,,,
,,,,Carl-Thiem-Klinikum Cottbus, +49 (0)355 46 23 36,Thiemstrasse 11103048 COTTBUSGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinikum Bremen-Mitte, +49 (0)421 497 5410,St.-Jürgen-Str. 128177 BREMENGERMANY,,,,,,,,,,,,,,,,,
,,,,AKK Altonaer Kinderkrankenhaus gGmbH, +49 (0)40 88908 791,Bleickenallee 3822763 HAMBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,UKE - Universitätsklinikum Hamburg-Eppendorf, +49 (0)40 7410 53750,Martinistr. 5220246 HAMBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitäres Centrum für Tumorerkrankungen (UCT) Frankfurt, +49 (0)69 6301 87333,Theodor-Stern-Kai 760590 FRANKFURT AM MAINGERMANY,,,,,,,,,,,,,,,,,
,,,,Kinderklinik des UKGM am Standort Gießen, +49 (0)641 985 43421,Feulgenstraße 10-1235392 GIEßENGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinik für Neurochirurgie des UKGM am Standort Gießen, +49 (0)641 985 57160,Klinikstraße 2935385 GIEßENGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinikum Kassel GmbH, +49 (0)561 980 5501,Mönchebergstr. 41-4334125 KASSELGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsmedizin Greifswald, +49 (0)3834 86 6301,Ferdinand-Sauerbruch-Straße17475 GREIFSWALDGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitäts-Kinder- und Jugendklinik Rostock, +49 (0)381 494 7001,Ernst-Heydemann-Str. 818057 ROSTOCKGERMANY,,,,,,,,,,,,,,,,,
,,,,Städtisches Klinikum Braunschweig - Standort Holwedestraße, +49 (0)531 595 1277,Holwedestraße 1638118 BRAUNSCHWEIGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsmedizin Göttingen, +49 (0)551 39 8035,Robert-Koch-Str. 4037099 GÖTTINGENGERMANY,,,,,,,,,,,,,,,,,
,,,,Medizinische Hochschule Hannover, +49 (0)511 532 6711,Carl-Neuberg-Str. 130625 HANNOVERGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinikum Oldenburg gGmbH, +49 (0)441 403 2013,Rahel-Straus-Straße 1026133 OLDENBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Aachen, +49 (0)241 80 89902,Pauwelsstr. 3052074 AACHENGERMANY,,,,,,,,,,,,,,,,,
,,,,Evangelisches Krankenhaus Bielefeld - Kinderzentrum Bethel, +49 (0)521 7727 80 59,Grenzweg 1033617 BIELEFELDGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitäts-Kinderklinik Bonn, +49 (0)228 287 33215,Adenauerallee 11953113 BONNGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinik und Poliklinik für NeurologieUniversitätsklinikum Bonn, +49 (0)228 287 15750,Sigmund-Freud-Str. 2553105 BONNGERMANY,,,,,,,,,,,,,,,,,
,,,,Universität Witten/Herdecke, +49 (0)2363 975 0,Dr. Friedrich-Steiner-Str. 545711 DATTELNGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinikum Dortmund gGmbH - Klinikzentrum Mitte, +49 (0)231 953 21700,Beurhausstr. 4044137 DORTMUNDGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Düsseldorf, +49 (0)211 81 17680,Moorenstr.540225 DÜSSELDORFGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinik für NeurochirurgieUniversitätsklinikum Düsseldorf, +49 (0)211 81 17935,Moorenstr.540225 DÜSSELDORFGERMANY,,,,,,,,,,,,,,,,,
,,,,Westdeutsches Tumorzentrum Essen (WTZ), +49 (0)201 723 1614,Hufelandstrasse 5545122 ESSENGERMANY,,,,,,,,,,,,,,,,,
,,,,HELIOS Klinikum Krefeld, +49 (0)2151 32 2301,Lutherplatz 4047805 KREFELDGERMANY,,,,,,,,,,,,,,,,,
,,,,"Centrum für Integrierte Onkologie (CIO) Köln-Bonn, Standort Köln", +49 (0)221 478 87660,Kerpener Str. 6250937 KÖLNGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Köln, +49 (0)221 478 4380,Kerpener Str. 6250937 KÖLNGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Münster, +49 (0)251 83 47742,Albert-Schweitzer-Campus 148149 MÜNSTERGERMANY,,,,,,,,,,,,,,,,,
,,,,Asklepios Kinderklinik Sankt Augustin GmbH, +49 (0)2241 249 201,Arnold-Janssen-Str. 2953757 SANKT AUGUSTINGERMANY,,,,,,,,,,,,,,,,,
,,,,"Gemeinschaftsklinikum Mittelrhein, Kemperhof", +49 (0)261 499 2602,Koblenzer Str. 115-15556073 KOBLENZGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsmedizin Mainz, +49 (0)6131 17 2557,Langenbeckstr. 155131 MAINZGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum des Saarlandes, +49 (0)6841 16 13690,Kirrberger Straße 10066421 HOMBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Klinikum Chemnitz gGmbH, +49 (0)371 333 24100,Flemmingstraße 209116 CHEMNITZGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Carl Gustav Carus an der TU Dresden, +49 (0)351 458 5608,Fetscherstrasse 7401307 DRESDENGERMANY,,,,,,,,,,,,,,,,,
,,,,Zentrum für Frauen- und Kindermedizin am Universitätsklinikum Leipzig, +49 (0)341 97 26160,Liebigstr. 20a04103 LEIPZIGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Halle (Saale), +49 (0)345 557 2388,Ernst-Grube-Straße 4006120 HALLE (SAALE)GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Magdeburg A.ö.R, +49 (0)391 67 24000,Leipziger Str. 4439120 MAGDEBURGGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Schleswig-Holstein - Campus Kiel, +49 (0)431 500 20102,Arnold-Heller-Str. 324105 KIELGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Schleswig-Holstein - Campus Lübeck, +49 (0)451 500 2956,Ratzeburger Allee 16023538 LÜBECKGERMANY,,,,,,,,,,,,,,,,,
,,,,Helios Klinikum Erfurt, +49 (0)361 781 4501,Nordhäuser Straße 7499089 ERFURTGERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Jena, +49 (0)3641 9238 020,Am Klinikum 107747 JENAGERMANY,,,,,,,,,,,,,,,,,
,,,,IRCCS Istituto G. Gaslini - Ospedale Pediatrico, +39 010 5636604,Largo G. Gaslini 516147 GENOVAITALY,,,,,,,,,,,,,,,,,
,,,,UMCG - Universitair Medisch Centrum Groningen, +31 (0)50 361 6161,Hanzeplein 19713 GZ GRONINGENNETHERLANDS,,,,,,,,,,,,,,,,,
,,,,"Amsterdam UMC, locatie VUmc", +31 (0)20 444 4444,De Boelelaan 11171081 HV AMSTERDAMNETHERLANDS,,,,,,,,,,,,,,,,,
,,,,Prinses Máxima Centrum, +31 (0)88 972 7272,Heidelberglaan 253584 CS UTRECHTNETHERLANDS,,,,,,,,,,,,,,,,,
,,,,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,s-Gravendijkwal 2303015 CE ROTTERDAMNETHERLANDS,,,,,,,,,,,,,,,,,
,,,,"Instytut ""Pomnik-Centrum Zdrowia Dziecka""", +48 22 815 7560,Al. Dzieci Polskich 2004 -730 WARSAWPOLAND,,,,,,,,,,,,,,,,,
,,,,"Hospital de Sta. Maria - Centro Hospitalar de Lisboa Norte, EPE.", +351 217 805 219,Av. Prof. Egas Moniz1649-035 LISBOAPORTUGAL,,,,,,,,,,,,,,,,,
,,,,Hospital Sant Joan de Déu Barcelona, +34 93 253 21 00,"Paseo de Sant Joan de Déu, 208950 ESPLUGUES DE LLOBREGATSPAIN",,,,,,,,,,,,,,,,,
,,,,Hospital General Universitario de Alicante, +34 965913535,"Avenida Pintor Baeza, 1203010 ALICANTESPAIN",,,,,,,,,,,,,,,,,
,,,,Hospital Universitario y Politécnico La Fe, +34 961244904,Avenida de Fernando Abril Martorell 10646026 VALENCIASPAIN,,,,,,,,,,,,,,,,,
,,,,Universitäts - Kinderspital Zürich - Eleonorenstiftung, +0041 (0)44 266 74 55,Steinwiesstrasse 758032 ZÜRICHSWITZERLAND,,,,,,,,,,,,,,,,,
,,,,Medizinische Universität Wien, +43 (0)1 40400 39400,"Spitalgasse 23, 1090 Wien, Austria",,,,,,,,,,,,,,,,,
,,,,St. Anna Kinderspital, +43 (0)1 40170,Kinderspitalgasse 61090 WIENAUSTRIA,,,,,,,,,,,,,,,,,
,,,,Kuopio University Hospital, +35 8 17 172 396,Puijonlaaksontie 270210 KUOPIOFINLAND,,,,,,,,,,,,,,,,,
,,,,TAYS - Tampere University Hospital,-,Teiskontie 3533520 TAMPEREFINLAND,,,,,,,,,,,,,,,,,
,,,,Turku University Hospital,358 2 313 2400,Kiinamyllynkatu 4-820520 TURKUFINLAND,,,,,,,,,,,,,,,,,
,,,,GH Est des HCL - Institut d'Hématologie et d'Oncologie Pédiatrique (IHOPe), +33 (0)4 78 78 26 06,1 Place Joseph Renaut69008 LYONFRANCE,,,,,,,,,,,,,,,,,
,,,,CLCC Oscar Lambret, +33 (0)3 20 29 59 56,3 Rue Frédéric Combemale BP 30759020 LILLE CEDEXFRANCE,,,,,,,,,,,,,,,,,
