Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs
,,Loss of skin colour,,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital, +49 (0)89 4400 52759,"Lindwurmstr. 4 80337 MÜNCHEN
",,,Ghent University Hospital - UZ Gent,,Corneel Heymanslaan 10 9000 GENT BELGIUM,,,,"Luxembourg, Een Haerz fir kriibskrank Kanner / Un coeur pour les enfants atteints de cancer",https://www.kriibskrankkanner.lu,,,,,,,
,,Soreness,,Klinikum rechts der Isar der Technischen Universität München, +49 (0)89 4140 2283,Ismaninger Straße 22 81675 MÜNCHEN GERMANY,,,University Hospitals Leuven - Gasthuisberg, +32 (0)16 34 59 03,Herestraat 493000 LEUVEN BELGIUM,,,,"Poland, KOLIBER - Stowarzyszenie na rzecz dzieci z choroba nowotworowa",https://koliber-dzieciom.pl,,,,,,,
,,Tummy pain,,Universitätsklinikum Regensburg, +49 (0)941 944 2101,Franz-Josef-Strauß-Allee 11 93053 REGENSBURG GERMANY,,,,,,,,,"Poland, Fundacja ""Krwinka""",http://www.krwinka.org,,,,,,,
,,,,Klinikum Bremen-Mitte, +49 (0)421 497 5410,St.-Jürgen-Str. 1 28177 BREMEN GERMANY,,,,,,,,,"Spain, Federación Española de Padres de Niños con Cáncer",https://cancerinfantil.org,,,,,,,
,,,,UKE - Universitätsklinikum Hamburg-Eppendorf, +49 (0)40 7410 54270,Martinistr. 52 20246 HAMBURG GERMANY,,,,,,,,,"Serbia, ZVONCICA - Childhood cancer parent organisation",http://www.zvoncica.org.rs,,,,,,,
,,,,Universitäres Centrum für Tumorerkrankungen (UCT) Frankfurt, +49 (0)69 6301 87333,Theodor-Stern-Kai 7 60590 FRANKFURT AM MAIN GERMAN,,,,,,,,,,,,,,,,,
,,,,Universitäts-Kinder- und Jugendklinik Rostock, +49 (0)381 494 7001,Ernst-Heydemann-Str. 8 18057 ROSTOCK GERMANY,,,,,,,,,,,,,,,,,
,,,,Städtisches Klinikum Braunschweig - Standort Holwedestraße, +49 (0)531 595 1277,"Holwedestraße 16 38118 BRAUNSCHWEIG
 GERMANY",,,,,,,,,,,,,,,,,
,,,,Universitätsmedizin Göttingen, +49 (0)551 39 8035,Robert-Koch-Str. 40 37099 GÖTTINGEN GERMANY,,,,,,,,,,,,,,,,,
,,,,Evangelisches Krankenhaus Bielefeld - Kinderzentrum Bethel, +49 (0)521 7727 80 59,Grenzweg 10 33617 BIELEFELD GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitäts-Kinderklinik Bonn, +49 (0)228 287 33215,Adenauerallee 119 53113 BONN GERMANY,,,,,,,,,,,,,,,,,
,,,,Universität Witten/Herdecke, +49 (0)2363 975 0,Dr. Friedrich-Steiner-Str. 5 45711 DATTELN GERMANY,,,,,,,,,,,,,,,,,
,,,,HELIOS Klinikum Krefeld, +49 (0)2151 32 2301,Lutherplatz 40 47805 KREFELD GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Köln, +49 (0)221 478 4380,Kerpener Str. 62 50937 KÖLN GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Münster, +49 (0)251 83 47742,Albert-Schweitzer-Campus 1 48149 MÜNSTER GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum des Saarlandes, +49 (0)6841 16 13690,Kirrberger Straße 100 66421 HOMBURG GERMANY,,,,,,,,,,,,,,,,,
,,,,Klinikum Chemnitz gGmbH," +49 (0)371 333 24100
","Flemmingstraße 2 09116 CHEMNITZ
",,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Carl Gustav Carus an der TU Dresden," +49 (0)351 458 5608
",Fetscherstrasse 74 01307 DRESDEN GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Magdeburg A.ö.R, +49 (0)391 671 5599,Leipziger Str. 44 39120 MAGDEBURG GERMANY,,,,,,,,,,,,,,,,,
,,,,Universitätsklinikum Schleswig-Holstein - Campus Kiel, +49 (0)431 500 20102,Arnold-Heller-Str. 3 24105 KIEL GERMANY,,,,,,,,,,,,,,,,,
,,,,Azienda Ospedaliero-Universitaria Consorziale Policlinico di Bari, +39 080 5592298,Piazza Giulio Cesare 11 70124 BARI ITALY,,,,,,,,,,,,,,,,,
,,,,Radboudumc - Radboud universitair medisch centrum, +31 (0)24 361 1111,Geert Grooteplein-Zuid 10 6525 GA NIJMEGEN NETHERLANDS,,,,,,,,,,,,,,,,,
,,,,Prinses Máxima Centrum,  +31 (0)88 972 7272,Heidelberglaan 25 3584 CS UTRECHT NETHERLANDS,,,,,,,,,,,,,,,,,
,,,,LUMC - Leids Universitair Medisch Centrum," +31 (0)71 526 8003
",Albinusdreef 2 2333 ZA LEIDEN NETHERLANDS,,,,,,,,,,,,,,,,,
,,,,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704 ,"Gravendijkwal 230 3015 CE ROTTERDAM NETHERLANDS
",,,,,,,,,,,,,,,,,
,,,,Hospital Sant Joan de Déu Barcelona, +34 93 253 21 00,"Paseo de Sant Joan de Déu, 2 08950 ESPLUGUES DE LLOBREGAT
SPAIN",,,,,,,,,,,,,,,,,
,,,,Universitäts - Kinderspital Zürich - Eleonorenstiftung, +0041 (0)44 266 74 55,Steinwiesstrasse 75 8032 ZÜRICH SWITZERLAND,,,,,,,,,,,,,,,,,
,,,,Medizinische Universität Wien, +43 (0)1 40400 39400,1090 WIEN AUSTRIA,,,,,,,,,,,,,,,,,
,,,,St. Anna Kinderspital, +43 (0)1 40170,"Kinderspitalgasse 6 1090 WIEN AUSTRIA
",,,,,,,,,,,,,,,,,
,,,,Kuopio University Hospita,358 17 172 396,"Puijonlaaksontie 2 70210 KUOPIO FINLAND
",,,,,,,,,,,,,,,,,
,,,,TAYS - Tampere University Hospital,,Teiskontie 35 33520 TAMPERE FINLAND,,,,,,,,,,,,,,,,,
,,,,Turku University Hospital,358 2 313 2400,Kiinamyllynkatu 4-8 20520 TURKU FINLAND,,,,,,,,,,,,,,,,,
,,,,GH Est des HCL - Institut d'Hématologie et d'Oncologie Pédiatrique (IHOPe), +33 (0)4 78 78 26 06,1 Place Joseph Renaut 69008 LYON FRANCE,,,,,,,,,,,,,,,,,
,,,,CLCC Oscar Lambret," +33 (0)3 20 29 59 56
",3 Rue Frédéric Combemale BP 307 59020 LILLE CEDEX FRANCE,,,,,,,,,,,,,,,,,
,,,,CLCC Institut Gustave Roussy, +33 (0)1 42 11 41 73,"114 rue Edouard Vaillant 94805 VILLEJUIF CEDEX FRANCE
",,,,,,,,,,,,,,,,,
,,,,Uniwersytecki Szpital Dzieciecy w Lublinie," +48 81 747 72 20
",Prof.Antoniego Gebali 6 20-093 LUBLIN POLAND,,,,,,,,,,,,,,,,,
,,,,"Instytut ""Pomnik-Centrum Zdrowia Dziecka""", +48 22815 17 87,Al. Dzieci Polskich 20 04 -730 WARSAW POLAND,,,,,,,,,,,,,,,,,
,,,,University of Çukurova,(90)322 338 60 60 Ext3116,01310 ADANA TURKEY,,,,,,,,,,,,,,,,,
,,,,Royal Manchester Children's Hospital, +44 (0)161 727 2950,"Oxford road MANCHESTER M13 9WL UNITED KINGDOM
",,,,,,,,,,,,,,,,,
,,,,University Hospital of Antwerp - UZA, +32 (0)3 275 97 74,Wilrijkstraat 10 2650 ANTWERPEN-EDEGEM BELGIUM,,,,,,,,,,,,,,,,,
